source,message_type,incoming_message,order_book_str,seconds_into_session,total_cancellations,total_buy_orders,total_sell_orders,num_trades,total_volume,avg_price,avg_spread,avg_midpoint,order_book_imbalance,avg_trade_size,trade_frequency,order_fill_rate,cancellation_rate,price_volatility
BOOK_INITIALIZER,ADDED_ORDER,"2001,1,-1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 5.0}, {""x"": 1997.0, ""y"": 4.0}, {""x"": 1996.0, ""y"": 3.0}], ""asks"": [{""x"": 2001.0, ""y"": 1.0}, {""x"": 2002.0, ""y"": 2.0}, {""x"": 2003.0, ""y"": 4.0}, {""x"": 2004.0, ""y"": 5.0}]}",1.45,0,17,12,0,16000.0,2000.0,2.67,2000.33,0.08,,0.0,0.0,0.0,0.0
BOOK_INITIALIZER,ADDED_ORDER,"2002,1,-1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 5.0}, {""x"": 1997.0, ""y"": 4.0}, {""x"": 1996.0, ""y"": 3.0}], ""asks"": [{""x"": 2001.0, ""y"": 1.0}, {""x"": 2002.0, ""y"": 3.0}, {""x"": 2003.0, ""y"": 4.0}, {""x"": 2004.0, ""y"": 5.0}]}",1.56,0,17,13,0,18000.0,2000.0,2.33,2000.17,0.04,,0.0,0.0,0.0,0.0
BOOK_INITIALIZER,ADDED_ORDER,"2004,1,-1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 5.0}, {""x"": 1997.0, ""y"": 4.0}, {""x"": 1996.0, ""y"": 3.0}], ""asks"": [{""x"": 2001.0, ""y"": 1.0}, {""x"": 2002.0, ""y"": 3.0}, {""x"": 2003.0, ""y"": 4.0}, {""x"": 2004.0, ""y"": 6.0}]}",1.67,0,17,14,0,20000.0,2000.0,2.0,2000.0,0.0,,0.0,0.0,0.0,0.0
BOOK_INITIALIZER,ADDED_ORDER,"2004,1,-1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 5.0}, {""x"": 1997.0, ""y"": 4.0}, {""x"": 1996.0, ""y"": 3.0}], ""asks"": [{""x"": 2001.0, ""y"": 1.0}, {""x"": 2002.0, ""y"": 3.0}, {""x"": 2003.0, ""y"": 4.0}, {""x"": 2004.0, ""y"": 7.0}]}",1.73,0,17,15,0,22000.0,2000.0,2.0,2000.0,-0.03,,0.0,0.0,0.0,0.0
BOOK_INITIALIZER,FILLED_ORDER,"2000,1,-1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 5.0}, {""x"": 1997.0, ""y"": 4.0}, {""x"": 1996.0, ""y"": 3.0}], ""asks"": [{""x"": 2001.0, ""y"": 1.0}, {""x"": 2002.0, ""y"": 3.0}, {""x"": 2003.0, ""y"": 4.0}, {""x"": 2004.0, ""y"": 7.0}]}",2.21,0,17,16,1,24000.0,2000.0,2.0,2000.0,-0.03,24000.0,0.45,0.03,0.0,0.0
BOOK_INITIALIZER,FILLED_ORDER,"2000,1,-1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 5.0}, {""x"": 1997.0, ""y"": 4.0}, {""x"": 1996.0, ""y"": 3.0}], ""asks"": [{""x"": 2001.0, ""y"": 1.0}, {""x"": 2002.0, ""y"": 3.0}, {""x"": 2003.0, ""y"": 4.0}, {""x"": 2004.0, ""y"": 7.0}]}",2.3,0,17,17,2,26000.0,2000.0,2.0,2000.0,-0.03,13000.0,0.87,0.06,0.0,0.0
BOOK_INITIALIZER,FILLED_ORDER,"2000,1,-1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 5.0}, {""x"": 1997.0, ""y"": 4.0}, {""x"": 1996.0, ""y"": 3.0}], ""asks"": [{""x"": 2001.0, ""y"": 1.0}, {""x"": 2002.0, ""y"": 3.0}, {""x"": 2003.0, ""y"": 4.0}, {""x"": 2004.0, ""y"": 7.0}]}",2.35,0,17,18,3,28000.0,2000.0,2.0,2000.0,-0.03,9333.33,1.28,0.09,0.0,0.0
NOISE_1,ADDED_ORDER,"1995,1,1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 5.0}, {""x"": 1997.0, ""y"": 4.0}, {""x"": 1996.0, ""y"": 3.0}, {""x"": 1995.0, ""y"": 1.0}], ""asks"": [{""x"": 2001.0, ""y"": 1.0}, {""x"": 2002.0, ""y"": 3.0}, {""x"": 2003.0, ""y"": 4.0}, {""x"": 2004.0, ""y"": 7.0}]}",2.43,0,18,18,3,30000.0,2000.0,2.0,2000.0,0.0,10000.0,1.24,0.08,0.0,0.0
NOISE_1,ADDED_ORDER,"2003,1,-1","{""bids"": [{""x"": 1999.0, ""y"": 1.0}, {""x"": 1998.0, ""y"": 5.0}, {""x"": 1997.0, ""y"": 4.0}, {""x"": 1996.0, ""y"": 3.0}, {""x"": 1995.0, ""y"": 1.0}], ""asks"": [{""x"": 2001.0, ""y"": 1.0}, {""x"": 2002.0, ""y"": 3.0}, {""x"": 2003.0, ""y"": 5.0}, {""x"": 2004.0, ""y"": 7.0}]}",2.47,0,18,19,3,32000.0,2000.0,2.0,2000.0,-0.07,10666.67,1.21,0.08,0.0,0.0
NOISE_1,ADDED_ORDER,"2005,1,-1","{""bids"": [{""x"": 1999.0, ""y"": 1.0}, {""x"": 1998.0, ""y"": 5.0}, {""x"": 1997.0, ""y"": 4.0}, {""x"": 1996.0, ""y"": 3.0}, {""x"": 1995.0, ""y"": 1.0}], ""asks"": [{""x"": 2001.0, ""y"": 1.0}, {""x"": 2002.0, ""y"": 3.0}, {""x"": 2003.0, ""y"": 5.0}, {""x"": 2004.0, ""y"": 7.0}, {""x"": 2005.0, ""y"": 1.0}]}",2.52,0,18,20,3,34000.0,2000.0,2.0,2000.0,-0.1,11333.33,1.19,0.08,0.0,0.0
NOISE_1,ADDED_ORDER,"2005,1,-1","{""bids"": [{""x"": 1999.0, ""y"": 1.0}, {""x"": 1998.0, ""y"": 5.0}, {""x"": 1997.0, ""y"": 4.0}, {""x"": 1996.0, ""y"": 3.0}, {""x"": 1995.0, ""y"": 1.0}], ""asks"": [{""x"": 2001.0, ""y"": 1.0}, {""x"": 2002.0, ""y"": 3.0}, {""x"": 2003.0, ""y"": 5.0}, {""x"": 2004.0, ""y"": 7.0}, {""x"": 2005.0, ""y"": 2.0}]}",2.57,0,18,21,3,36000.0,2000.0,2.0,2000.0,-0.13,12000.0,1.17,0.08,0.0,0.0
